timestmp,detection
15617.821,1
15658.001,1
15696.923,1
15739.168,1
15776.635,1
15817.703,1
15860.423,1
15901.716,1
15943.343,1
15984.114,1
16024.193,1
16065.448,1
16106.759,1
16145.933,1
16185.335,1
16229.193,1
16266.703,1
16306.964,1
16347.36,1
16385.479,1
16424.591,1
16463.966,1
16503.64,1
16543.441,1
16586.959,1
16635.126,1
16675.038,1
16718.378,1
16758.922,1
16798.922,1
16838.25,1
16877.396,1
16918.31,1
16956.936,1
16995.577,1
17036.88,1
17077.643,1
17118.618,1
17157.262,1
17202.036,1
17243.407,1
17286.961,1
17325.709,1
17365.136,1
17404.901,1
17443.217,1
17483.03,1
17524.931,1
17565.016,1
17606.946,1
17647.899,1
17689.002,1
17728.003,1
17768.645,1
17807.615,1
17848.491,1
17886.266,1
17926.98,1
17967.559,1
18009.789,1
18047.535,1
18088.119,1
18127.82,1
18168.178,1
18209.126,1
18249.504,1
18289.951,1
18332.335,1
18372.354,1
18411.796,1
18454.042,1
18493.003,1
18532.912,1
18581.097,1
18623.8,1
18665.104,1
18706.536,1
18750.831,1
18790.52,1
18834.332,1
18874.222,1
18915.175,1
18953.701,1
18994.487,1
19031.44,1
19075.309,1
19118.041,1
19160.246,1
19199.621,1
19240.077,1
19277.998,1
19318.428,1
19359.113,1
19399.555,1
19439.719,1
19482.762,1
19526.472,1
19566.222,1
19611.496,1
19654.339,1
19695.976,1
19737.439,1
19776.947,1
19818.169,1
19857.888,1
19900.875,1
19940.005,1
19980.23,1
20020.62,1
20060.429,1
20102.101,1
20142.27,1
20183.172,1
20222.737,1
20261.734,1
20305.094,1
20345.665,1
20386.57,1
20424.316,1
20464.598,1
20501.603,1
20540.175,1
20581.37,1
20621.962,1
20662.031,1
20700.281,1
20742.066,1
20783.303,1
20823.107,1
20862.539,1
20900.897,1
20940.071,1
20982.708,1
21022.145,1
21060.076,1
21102.478,1
21143.454,1
21183.259,1
21225.479,1
21268.546,1
21308.724,1
21348.036,1
21388.348,1
21426.675,1
21466.303,1
21506.391,1
21545.163,1
21588.386,1
21631.388,1
21671.421,1
21711.187,1
21751.113,1
21790.682,1
21832.947,1
21876.158,1
21914.726,1
21955.083,1
21996.074,1
22034.26,1
22075.651,1
22115.091,1
22154.17,1
22192.143,1
22231.641,1
22269.931,1
22309.547,1
22349.882,1
22390.72,1
22429.786,1
22468.476,1
22508.116,1
22546.451,1
22587.089,1
22627.412,1
22667.708,1
22710.108,1
22747.125,1
22785.852,1
22826.431,1
22865.551,1
22911.717,1
22958.943,1
22999.317,1
23039.625,1
23082.884,1
23126.181,1
23166.788,1
23205.703,1
23243.687,1
23281.972,1
23322.921,1
23360.466,1
23399.585,1
23438.011,1
23477.673,1
23519.17,1
23559.303,1
23602.036,1
23641.65,1
23682.901,1
23721.012,1
23761.106,1
23802.412,1
23843.888,1
23883.261,1
23924.36,1
23964.983,1
24006.4,1
24045.044,1
24085.247,1
24125.824,1
24166.521,1
24206.127,1
24246.187,1
24287.021,1
24326.82,1
24366.43,1
24406.487,1
24447.487,1
24488.886,1
24528.281,1
24569.328,1
24609.594,1
24651.215,1
24688.592,1
24727.075,1
24765.986,1
24804.626,1
24842.533,1
24881.509,1
24921.611,1
24962.153,1
25001.731,1
25040.451,1
25081.965,1
25122.316,1
25164.317,1
25205.17,1
25246.055,1
25288.926,1
25327.239,1
25368.22,1
25407.42,1
25448.266,1
25487.203,1
25526.167,1
25565.105,1
25606.201,1
25646.814,1
25687.74,1
25730.317,1
25773.164,1
25814.996,1
25855.149,1
25894.058,1
25934.765,1
25973.588,1
26015.959,1
26056.115,1
26100.997,1
26138.751,1
26182.283,1
26225.461,1
26266.369,1
26306.046,1
26345.976,1
26386.003,1
26427.301,1
26465.633,1
26505.37,1
26544.035,1
26586.381,1
26627.913,1
26669.256,1
26709.521,1
26748.675,1
26789.204,1
26828.789,1
26867.82,1
26911.495,1
26957.672,1
26996.011,1
27035.407,1
27073.962,1
27114.632,1
27153.123,1
27192.524,1
27236.093,1
27276.651,1
27315.877,1
